#
#   R (fm)                     rho_p(fm^-3)             rho_n(fm^-3)  
#
  0.100000000000000       9.188165592961814E-002  9.686295892467239E-002
  0.200000000000000       9.160225397149997E-002  9.654047981398588E-002
  0.300000000000000       9.115237465040782E-002  9.602116145163764E-002
  0.400000000000000       9.054395537063183E-002  9.531918803423611E-002
  0.500000000000000       8.979629505050293E-002  9.445718929429661E-002
  0.600000000000000       8.893306812470651E-002  9.346287171479066E-002
  0.700000000000000       8.798155738426360E-002  9.236805403129800E-002
  0.800000000000000       8.697126709860611E-002  9.120702294642677E-002
  0.900000000000000       8.593254742245547E-002  9.001488308801484E-002
   1.00000000000000       8.489499527046983E-002  8.882566233714061E-002
   1.10000000000000       8.388576723086730E-002  8.767033149899089E-002
   1.20000000000000       8.292788123818376E-002  8.657483899738119E-002
   1.30000000000000       8.203863998394148E-002  8.555832239441954E-002
   1.40000000000000       8.122831419211513E-002  8.463166206140608E-002
   1.50000000000000       8.049921988918898E-002  8.379653183540389E-002
   1.60000000000000       7.984529390631495E-002  8.304505977900720E-002
   1.70000000000000       7.925222282961891E-002  8.236014819017742E-002
   1.80000000000000       7.869811981859622E-002  8.171642635496405E-002
   1.90000000000000       7.815468360713029E-002  8.108173818049563E-002
   2.00000000000000       7.758872655452226E-002  8.041901423327352E-002
   2.10000000000000       7.696393208886383E-002  7.968835274409665E-002
   2.20000000000000       7.624269857287913E-002  7.884913789027495E-002
   2.30000000000000       7.538794308203940E-002  7.786205028446951E-002
   2.40000000000000       7.436476768682347E-002  7.669086435470678E-002
   2.50000000000000       7.314192447998169E-002  7.530397008509314E-002
   2.60000000000000       7.169304696101797E-002  7.367559451293099E-002
   2.70000000000000       6.999764009495239E-002  7.178672687727138E-002
   2.80000000000000       6.804183756142873E-002  6.962576895471448E-002
   2.90000000000000       6.581894256030682E-002  6.718893971494057E-002
   3.00000000000000       6.332976941419460E-002  6.448046300893265E-002
   3.10000000000000       6.058279900238896E-002  6.151256098241362E-002
   3.20000000000000       5.759415372563163E-002  5.830526659005623E-002
   3.30000000000000       5.438738901730923E-002  5.488605796840620E-002
   3.40000000000000       5.099308995424447E-002  5.128930720860933E-002
   3.50000000000000       4.744825471737860E-002  4.755552779335809E-002
   3.60000000000000       4.379544295003510E-002  4.373040017735681E-002
   3.70000000000000       4.008166803598459E-002  3.986355541156172E-002
   3.80000000000000       3.635701975670547E-002  3.600710427372106E-002
   3.90000000000000       3.267301960235536E-002  3.221391609237277E-002
   4.00000000000000       2.908073688462186E-002  2.853567897826355E-002
   4.10000000000000       2.562873036062310E-002  2.502081181302348E-002
   4.20000000000000       2.236092552460907E-002  2.171234557266519E-002
   4.30000000000000       1.931458606321932E-002  1.864594029044588E-002
   4.40000000000000       1.651857764791315E-002  1.584824142942820E-002
   4.50000000000000       1.399213677035556E-002  1.333578842319147E-002
   4.60000000000000       1.174432974864637E-002  1.111465216886139E-002
   4.70000000000000       9.774308509813930E-003  9.180890597208696E-003
   4.80000000000000       8.072348968911201E-003  7.521784074612434E-003
   4.90000000000000       6.621524126446554E-003  6.117677682554321E-003
   5.00000000000000       5.399758482426400E-003  4.944157473398892E-003
   5.10000000000000       4.381967072358279E-003  3.974254880832566E-003
   5.20000000000000       3.542011204561111E-003  3.180413676558421E-003
   5.30000000000000       2.854285820987367E-003  2.536045514007071E-003
   5.40000000000000       2.294856268728539E-003  2.016607157580011E-003
   5.50000000000000       1.842152808732159E-003  1.600222776702159E-003
   5.60000000000000       1.477290917531687E-003  1.267931264502003E-003
   5.70000000000000       1.184111618554216E-003  1.003660533725150E-003
   5.80000000000000       9.490363271966519E-004  7.940271332431125E-004
   5.90000000000000       7.608159757058595E-004  6.280419484501942E-004
   6.00000000000000       6.102339804550014E-004  4.967807807832038E-004
   6.10000000000000       4.898030491390645E-004  3.930581697787872E-004
   6.20000000000000       3.934798365941562E-004  3.111265748783045E-004
   6.30000000000000       3.164097934687442E-004  2.464114628293759E-004
   6.40000000000000       2.547067916413086E-004  1.952853427255625E-004
   6.50000000000000       2.052673934835544E-004  1.548793778026717E-004
   6.60000000000000       1.656170671359129E-004  1.229289272433533E-004
   6.70000000000000       1.337844923519825E-004  9.764846075309973E-005
   6.80000000000000       1.081997984564278E-004  7.763118376457444E-005
   6.90000000000000       8.761274889815023E-005  6.176903612923693E-005
   7.00000000000000       7.102729261304548E-005  4.918924595613914E-005
   7.10000000000000       5.764939406955408E-005  3.920419390204647E-005
   7.20000000000000       4.684554872390027E-005  3.127189625041517E-005
   7.30000000000000       3.810984643906058E-005  2.496491140090526E-005
   7.40000000000000       3.103784431907912E-005  1.994590083227688E-005
   7.50000000000000       2.530584825680591E-005  1.594843174540589E-005
   7.60000000000000       2.065448238497966E-005  1.276190026323860E-005
   7.70000000000000       1.687565395428843E-005  1.021968964776849E-005
   7.80000000000000       1.380220540540595E-005  8.189866390431353E-006
   7.90000000000000       1.129969290618264E-005  6.567866610485136E-006
   8.00000000000000       9.259848055182911E-006  5.270743337234002E-006
   8.10000000000000       7.595372570415758E-006  4.232638214466275E-006
   8.20000000000000       6.235789420930593E-006  3.401214125820370E-006
   8.30000000000000       5.124131988713347E-006  2.734842399480199E-006
   8.40000000000000       4.214298688841266E-006  2.200382982410548E-006
   8.50000000000000       3.468936606067768E-006  1.771430959077082E-006
   8.60000000000000       2.857746181942710E-006  1.426930145386278E-006
   8.70000000000000       2.356121436014326E-006  1.150075881037246E-006
   8.80000000000000       1.944057912776933E-006  9.274458780836657E-007
   8.90000000000000       1.605274524745938E-006  7.483110811472945E-007
   9.00000000000000       1.326506506876927E-006  6.040887525327464E-007
   9.10000000000000       1.096935433311209E-006  4.879080353078398E-007
   9.20000000000000       9.077291646629198E-007  3.942645541140529E-007
   9.30000000000000       7.516700778813644E-007  3.187455651209563E-007
   9.40000000000000       6.228542835781713E-007  2.578110578175591E-007
   9.50000000000000       5.164479953106617E-007  2.086192726075141E-007
   9.60000000000000       4.284899681971280E-007  1.688875083835584E-007
   9.70000000000000       3.557311188294427E-007  1.367809940089590E-007
   9.80000000000000       2.955041879715689E-007  1.108240966948234E-007
   9.90000000000000       2.456177067175639E-007  8.982932392901812E-008
   10.0000000000000       2.042696457289432E-007  7.284051143622600E-008
   10.1000000000000       1.699770228377722E-007  5.908733014427435E-008
   10.2000000000000       1.415184635955675E-007  4.794883164120317E-008
   10.3000000000000       1.178872863935707E-007  3.892421658743055E-008
   10.4000000000000       9.825314795359251E-008  3.160937951848521E-008
   10.5000000000000       8.193065863473495E-008  2.567807652343593E-008
   10.6000000000000       6.835367815816660E-008  2.086679523919538E-008
   10.7000000000000       5.705424536768820E-008  1.696259194391151E-008
   10.8000000000000       4.764529196824617E-008  1.379330811851278E-008
   10.9000000000000       3.980644896724335E-008  1.121969651403637E-008
   11.0000000000000       3.327238310481595E-008  9.129080246573227E-009
   11.1000000000000       2.782320476351449E-008  7.430244159003301E-009
   11.2000000000000       2.327657339877201E-008  6.049316333104014E-009
   11.3000000000000       1.948119520661094E-008  4.926446361111127E-009
   11.4000000000000       1.631146358143255E-008  4.013124851866771E-009
   11.5000000000000       1.366303835936139E-008  3.270019331846284E-009
   11.6000000000000       1.144919692394019E-008  2.665226272852540E-009
   11.7000000000000       9.597820052582253E-009  2.172858365312606E-009
   11.8000000000000       8.048901009455634E-009  1.771902634769903E-009
   11.9000000000000       6.752485157312493E-009  1.445296678958761E-009
   12.0000000000000       5.666964827059917E-009  1.179181226084398E-009
   12.1000000000000       4.757667333596219E-009  9.622950763054636E-010
   12.2000000000000       3.995684958311636E-009  7.854850988107496E-010
   12.3000000000000       3.356904890550499E-009  6.413092508739805E-010
   12.4000000000000       2.821204480073621E-009  5.237148345853247E-010
   12.5000000000000       2.371783249345811E-009  4.277776332985469E-010
   12.6000000000000       1.994608115756257E-009  3.494903302026450E-010
   12.7000000000000       1.677952385987566E-009  2.855908368647076E-010
   12.8000000000000       1.412012468245459E-009  2.334229546502956E-010
   12.9000000000000       1.188589034040663E-009  1.908232405396206E-010
   13.0000000000000       1.000821656805227E-009  1.560291184374498E-010
   13.1000000000000       8.429678474423580E-010  1.276042218032050E-010
   13.2000000000000       7.102189686676917E-010  1.043777168745759E-010
   13.3000000000000       5.985467994495068E-010  8.539497297853916E-011
   13.4000000000000       5.045755861593994E-010  6.987744563816913E-011
   13.5000000000000       4.254752977202904E-010  5.719004212162815E-011
   13.6000000000000       3.588725305314470E-010  4.681456605784117E-011
   13.7000000000000       3.027761119211905E-010  3.832810252928787E-011
   13.8000000000000       2.555149502494487E-010  3.138541955830133E-011
   13.9000000000000       2.156860935932634E-010  2.570463574260420E-011
   14.0000000000000       1.821113020525864E-010  2.105554473031312E-011
   14.1000000000000       1.538007233503856E-010  1.725010152389057E-011
   14.2000000000000       1.299224976618745E-010  1.413466833304208E-011
   14.3000000000000       1.097773138187851E-010  1.158369295441163E-011
   14.4000000000000       9.277710207009589E-011  9.494553753988787E-012
   14.5000000000000       7.842718411915747E-011  7.783354946939345E-012
   14.6000000000000       6.631131389277771E-011  6.381496178859697E-012
   14.7000000000000       5.607913631299467E-011  5.232873169222322E-012
   14.8000000000000       4.743566945003797E-011  4.291592805317222E-012
   14.9000000000000       4.013248049599340E-011  3.520107726701294E-012
   15.0000000000000       3.396028021734790E-011  2.887693051072915E-012
   15.1000000000000       2.874270574832752E-011  2.369202220863546E-012
   15.2000000000000       2.433109929149340E-011  1.944050610821671E-012
   15.3000000000000       2.060012175529721E-011  1.595385029656774E-012
   15.4000000000000       1.744406662465138E-011  1.309404978656085E-012
   15.5000000000000       1.477376129767913E-011  1.074807826164769E-012
   15.6000000000000       1.251396145081530E-011  8.823351862474914E-013
   15.7000000000000       1.060115931500528E-011  7.244019699387732E-013
   15.8000000000000       8.981739556797827E-012  5.947929847943990E-013
   15.9000000000000       7.610427174914764E-012  4.884147365257193E-013
   16.0000000000000       6.448980791216180E-012  4.010923520801471E-013
   16.1000000000000       5.465092222965092E-012  3.294033916029418E-013
   16.2000000000000       4.631459511062248E-012  2.705418245663561E-013
   16.3000000000000       3.925005846707880E-012  2.222066758948476E-013
   16.4000000000000       3.326221253794733E-012  1.825108523725922E-013
   16.5000000000000       2.818607585656013E-012  1.499064797093208E-013
   16.6000000000000       2.388210498979822E-012  1.231237503467262E-013
   16.7000000000000       2.023224671981789E-012  1.011208291019758E-013
   16.8000000000000       1.713660719538683E-012  8.304281063698508E-014
   16.9000000000000       1.451064092840151E-012  6.818808791190340E-014
   17.0000000000000       1.228277792003866E-012  5.598078923255467E-014
   17.1000000000000       1.039242014532504E-012  4.594818547195889E-014
   17.2000000000000       8.788249502301053E-013  3.770216851910377E-014
   17.3000000000000       7.426798475287652E-013  3.092406513048713E-014
   17.4000000000000       6.271242449839467E-013  2.535218378072389E-014
   17.5000000000000       5.290379083348453E-013  2.077160125580472E-014
   17.6000000000000       4.457765575717725E-013  1.700578503863475E-014
   17.7000000000000       3.750989263175585E-013  1.390972062111161E-014
   17.8000000000000       3.151050812795015E-013  1.136427269719412E-014
   17.9000000000000       2.641842541107327E-013  9.271558163149568E-015
   18.0000000000000       2.209707114269252E-013  7.551148948815931E-015
   18.1000000000000       1.843064190928332E-013  6.136955541081078E-015
   18.2000000000000       1.532094510564587E-013  4.974668957209906E-015
   18.3000000000000       1.268472567074263E-013  4.019660959980302E-015
   18.4000000000000       1.045140387947046E-013  3.235260361168319E-015
   18.5000000000000       8.561161041279245E-014  2.591338056545499E-015
   18.6000000000000       6.963319786563705E-014  2.063145564805291E-015
   18.7000000000000       5.614973921317926E-014  1.630361788058284E-015
   18.8000000000000       4.479829841145321E-014  1.276310868394397E-015
   18.9000000000000       3.527227420690092E-014  9.873207074953768E-016
   19.0000000000000       2.731313305180794E-014  7.521972097794910E-016
   19.1000000000000       2.070343771418146E-014  5.617938215453086E-016
   19.2000000000000       1.526097917952996E-014  4.086596473542668E-016
   19.3000000000000       1.083384991155030E-014  2.867524767364323E-016
   19.4000000000000       7.296322421906860E-015  1.912055693445758E-016
   19.5000000000000       4.545419130514866E-015  1.181391236828660E-016
   19.6000000000000       2.498078299158482E-015  6.450907483958238E-017
   19.7000000000000       1.088836920982465E-015  2.798729741077974E-017
   19.8000000000000       2.679652957978781E-016  6.868486638813315E-018
   19.9000000000000       0.000000000000000E+000  0.000000000000000E+000
   20.0000000000000       0.000000000000000E+000  0.000000000000000E+000
