	# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.10000E+00  -0.43004E+02  -0.40322E+02  -0.51149E+01  -0.51190E+01   0.99600E+01
   0.20000E+00  -0.43392E+02  -0.40728E+02  -0.48212E+01  -0.48253E+01   0.99526E+01
   0.30000E+00  -0.43757E+02  -0.41131E+02  -0.46701E+01  -0.46748E+01   0.99402E+01
   0.40000E+00  -0.44269E+02  -0.41690E+02  -0.44988E+01  -0.45045E+01   0.99228E+01
   0.50000E+00  -0.44911E+02  -0.42387E+02  -0.42864E+01  -0.42931E+01   0.99005E+01
   0.60000E+00  -0.45657E+02  -0.43194E+02  -0.40354E+01  -0.40435E+01   0.98733E+01
   0.70000E+00  -0.46487E+02  -0.44090E+02  -0.37492E+01  -0.37587E+01   0.98412E+01
   0.80000E+00  -0.47373E+02  -0.45043E+02  -0.34339E+01  -0.34450E+01   0.98042E+01
   0.90000E+00  -0.48283E+02  -0.46020E+02  -0.30968E+01  -0.31094E+01   0.97624E+01
   0.10000E+01  -0.49182E+02  -0.46986E+02  -0.27468E+01  -0.27610E+01   0.97158E+01
   0.11000E+01  -0.50033E+02  -0.47901E+02  -0.23939E+01  -0.24095E+01   0.96643E+01
   0.12000E+01  -0.50800E+02  -0.48730E+02  -0.20490E+01  -0.20659E+01   0.96081E+01
   0.13000E+01  -0.51447E+02  -0.49438E+02  -0.17234E+01  -0.17413E+01   0.95471E+01
   0.14000E+01  -0.51947E+02  -0.49996E+02  -0.14281E+01  -0.14465E+01   0.94814E+01
   0.15000E+01  -0.52277E+02  -0.50383E+02  -0.11728E+01  -0.11916E+01   0.94110E+01
   0.16000E+01  -0.52425E+02  -0.50588E+02  -0.96600E+00  -0.98473E+00   0.93359E+01
   0.17000E+01  -0.52389E+02  -0.50608E+02  -0.81384E+00  -0.83214E+00   0.92561E+01
   0.18000E+01  -0.52176E+02  -0.50450E+02  -0.72004E+00  -0.73756E+00   0.91719E+01
   0.19000E+01  -0.51801E+02  -0.50132E+02  -0.68573E+00  -0.70218E+00   0.90832E+01
   0.20000E+01  -0.51286E+02  -0.49675E+02  -0.70959E+00  -0.72475E+00   0.89901E+01
   0.21000E+01  -0.50658E+02  -0.49108E+02  -0.78814E+00  -0.80185E+00   0.88927E+01
   0.22000E+01  -0.49946E+02  -0.48461E+02  -0.91609E+00  -0.92827E+00   0.87912E+01
   0.23000E+01  -0.49179E+02  -0.47763E+02  -0.10869E+01  -0.10975E+01   0.86858E+01
   0.24000E+01  -0.48384E+02  -0.47044E+02  -0.12930E+01  -0.13021E+01   0.85766E+01
   0.25000E+01  -0.47584E+02  -0.46328E+02  -0.15264E+01  -0.15341E+01   0.84637E+01
   0.26000E+01  -0.46801E+02  -0.45637E+02  -0.17788E+01  -0.17853E+01   0.83476E+01
   0.27000E+01  -0.46051E+02  -0.44986E+02  -0.20420E+01  -0.20473E+01   0.82283E+01
   0.28000E+01  -0.45343E+02  -0.44386E+02  -0.23075E+01  -0.23119E+01   0.81062E+01
   0.29000E+01  -0.44685E+02  -0.43841E+02  -0.25672E+01  -0.25708E+01   0.79816E+01
   0.30000E+01  -0.44074E+02  -0.43350E+02  -0.28129E+01  -0.28158E+01   0.78550E+01
   0.31000E+01  -0.43506E+02  -0.42905E+02  -0.30366E+01  -0.30390E+01   0.77266E+01
   0.32000E+01  -0.42967E+02  -0.42490E+02  -0.32306E+01  -0.32326E+01   0.75970E+01
   0.33000E+01  -0.42436E+02  -0.42083E+02  -0.33875E+01  -0.33891E+01   0.74666E+01
   0.34000E+01  -0.41885E+02  -0.41655E+02  -0.35005E+01  -0.35018E+01   0.73358E+01
   0.35000E+01  -0.41279E+02  -0.41166E+02  -0.35639E+01  -0.35649E+01   0.72052E+01
   0.36000E+01  -0.40574E+02  -0.40574E+02  -0.35734E+01  -0.35742E+01   0.70752E+01
   0.37000E+01  -0.39724E+02  -0.39830E+02  -0.35267E+01  -0.35273E+01   0.69464E+01
   0.38000E+01  -0.38678E+02  -0.38882E+02  -0.34240E+01  -0.34244E+01   0.68190E+01
