# Kohn - Sham potential
# r(fm)	v(r) (MeV)
0.1	15516.2
0.2	-25.1129
0.3	92.6848
0.4	-23.2738
0.5	-23.9062
0.6	-24.6835
0.7	-25.5543
0.8	-26.4964
0.9	-27.4741
1	-28.4485
1.1	-29.386
1.2	-30.2482
1.3	-30.999
1.4	-31.6087
1.5	-32.0563
1.6	-32.3187
1.7	-32.4012
1.8	-32.2959
1.9	-32.0268
2	-31.6131
2.1	-31.0756
2.2	-30.4581
2.3	-29.7755
2.4	-29.0736
2.5	-28.3711
2.6	-27.6876
2.7	-27.0554
2.8	-26.4681
2.9	-25.9444
3	-25.4755
3.1	-25.0618
3.2	-24.6761
3.3	-24.3037
3.4	-23.9115
3.5	-23.4637
3.6	-22.9012
3.7	-22.1922
3.8	-21.2769
3.9	-20.1106
4	-18.6389
4.1	-16.8734
4.2	-14.7975
4.3	-12.4403
4.4	-9.85818
4.5	-7.17644
4.6	-4.40455
4.7	-1.72418
4.8	0.830709
4.9	3.18272
5	5.28725
5.1	7.12734
5.2	8.70428
5.3	10.022
5.4	11.1165
5.5	12.0043
5.6	12.7142
5.7	13.2964
5.8	13.7276
5.9	14.0828
6	14.3416
6.1	14.549
6.2	14.6937
6.3	14.8008
6.4	14.8842
6.5	14.9253
6.6	14.9765
6.7	14.9685
6.8	14.9982
6.9	14.9838
7	14.9826
7.1	14.9699
7.2	14.9548
7.3	14.9355
7.4	14.9218
7.5	14.8982
7.6	14.8853
7.7	14.8581
7.8	14.8432
7.9	14.8188
8	14.7974
8.1	14.7719
8.2	14.7495
8.3	14.7183
8.4	14.6828
8.5	14.6483
8.6	14.5964
8.7	14.5454
8.8	14.4679
8.9	14.3765
9	14.2604
9.1	14.108
9.2	13.9261
9.3	13.6579
9.4	13.3225
9.5	12.8767
9.6	12.2674
9.7	11.4547
9.8	10.3442
9.9	8.82044
10	6.66697
