# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.10000E+00  -0.46451E+02  -0.46451E+02   0.00000E+00   0.00000E+00   0.11442E+02
   0.20000E+00  -0.46705E+02  -0.46705E+02   0.00000E+00   0.00000E+00   0.11431E+02
   0.30000E+00  -0.47105E+02  -0.47105E+02   0.00000E+00   0.00000E+00   0.11413E+02
   0.40000E+00  -0.47628E+02  -0.47628E+02   0.00000E+00   0.00000E+00   0.11388E+02
   0.50000E+00  -0.48241E+02  -0.48241E+02   0.00000E+00   0.00000E+00   0.11356E+02
   0.60000E+00  -0.48904E+02  -0.48904E+02   0.00000E+00   0.00000E+00   0.11318E+02
   0.70000E+00  -0.49578E+02  -0.49578E+02   0.00000E+00   0.00000E+00   0.11273E+02
   0.80000E+00  -0.50224E+02  -0.50224E+02   0.00000E+00   0.00000E+00   0.11222E+02
   0.90000E+00  -0.50809E+02  -0.50809E+02   0.00000E+00   0.00000E+00   0.11165E+02
   0.10000E+01  -0.51311E+02  -0.51311E+02   0.00000E+00   0.00000E+00   0.11103E+02
   0.11000E+01  -0.51718E+02  -0.51718E+02   0.00000E+00   0.00000E+00   0.11036E+02
   0.12000E+01  -0.52028E+02  -0.52028E+02   0.00000E+00   0.00000E+00   0.10963E+02
   0.13000E+01  -0.52251E+02  -0.52251E+02   0.00000E+00   0.00000E+00   0.10886E+02
   0.14000E+01  -0.52399E+02  -0.52399E+02   0.00000E+00   0.00000E+00   0.10804E+02
   0.15000E+01  -0.52487E+02  -0.52487E+02   0.00000E+00   0.00000E+00   0.10718E+02
   0.16000E+01  -0.52530E+02  -0.52530E+02   0.00000E+00   0.00000E+00   0.10627E+02
   0.17000E+01  -0.52535E+02  -0.52535E+02   0.00000E+00   0.00000E+00   0.10532E+02
   0.18000E+01  -0.52510E+02  -0.52510E+02   0.00000E+00   0.00000E+00   0.10431E+02
   0.19000E+01  -0.52459E+02  -0.52459E+02   0.00000E+00   0.00000E+00   0.10326E+02
   0.20000E+01  -0.52387E+02  -0.52387E+02   0.00000E+00   0.00000E+00   0.10215E+02
   0.21000E+01  -0.52305E+02  -0.52305E+02   0.00000E+00   0.00000E+00   0.10100E+02
   0.22000E+01  -0.52227E+02  -0.52227E+02   0.00000E+00   0.00000E+00   0.99784E+01
   0.23000E+01  -0.52170E+02  -0.52170E+02   0.00000E+00   0.00000E+00   0.98515E+01
   0.24000E+01  -0.52155E+02  -0.52155E+02   0.00000E+00   0.00000E+00   0.97189E+01
   0.25000E+01  -0.52198E+02  -0.52198E+02   0.00000E+00   0.00000E+00   0.95806E+01
   0.26000E+01  -0.52305E+02  -0.52305E+02   0.00000E+00   0.00000E+00   0.94365E+01
   0.27000E+01  -0.52467E+02  -0.52467E+02   0.00000E+00   0.00000E+00   0.92870E+01
   0.28000E+01  -0.52655E+02  -0.52655E+02   0.00000E+00   0.00000E+00   0.91323E+01
   0.29000E+01  -0.52810E+02  -0.52810E+02   0.00000E+00   0.00000E+00   0.89728E+01
   0.30000E+01  -0.52851E+02  -0.52851E+02   0.00000E+00   0.00000E+00   0.88091E+01
   0.31000E+01  -0.52670E+02  -0.52670E+02   0.00000E+00   0.00000E+00   0.86419E+01
   0.32000E+01  -0.52147E+02  -0.52147E+02   0.00000E+00   0.00000E+00   0.84718E+01
   0.33000E+01  -0.51167E+02  -0.51167E+02   0.00000E+00   0.00000E+00   0.82998E+01
   0.34000E+01  -0.49636E+02  -0.49636E+02   0.00000E+00   0.00000E+00   0.81268E+01
   0.35000E+01  -0.47503E+02  -0.47503E+02   0.00000E+00   0.00000E+00   0.79537E+01
   0.36000E+01  -0.44775E+02  -0.44775E+02   0.00000E+00   0.00000E+00   0.77813E+01
   0.37000E+01  -0.41520E+02  -0.41520E+02   0.00000E+00   0.00000E+00   0.76107E+01
   0.38000E+01  -0.37859E+02  -0.37859E+02   0.00000E+00   0.00000E+00   0.74424E+01
