# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.10000E+00  -0.48501E+02  -0.46945E+02   0.00000E+00   0.00000E+00   0.10540E+02
   0.20000E+00  -0.48719E+02  -0.47174E+02   0.00000E+00   0.00000E+00   0.10532E+02
   0.30000E+00  -0.49063E+02  -0.47535E+02   0.00000E+00   0.00000E+00   0.10517E+02
   0.40000E+00  -0.49509E+02  -0.48005E+02   0.00000E+00   0.00000E+00   0.10497E+02
   0.50000E+00  -0.50027E+02  -0.48553E+02   0.00000E+00   0.00000E+00   0.10471E+02
   0.60000E+00  -0.50582E+02  -0.49144E+02   0.00000E+00   0.00000E+00   0.10440E+02
   0.70000E+00  -0.51136E+02  -0.49739E+02   0.00000E+00   0.00000E+00   0.10404E+02
   0.80000E+00  -0.51657E+02  -0.50304E+02   0.00000E+00   0.00000E+00   0.10362E+02
   0.90000E+00  -0.52116E+02  -0.50810E+02   0.00000E+00   0.00000E+00   0.10315E+02
   0.10000E+01  -0.52496E+02  -0.51238E+02   0.00000E+00   0.00000E+00   0.10262E+02
   0.11000E+01  -0.52789E+02  -0.51578E+02   0.00000E+00   0.00000E+00   0.10205E+02
   0.12000E+01  -0.52999E+02  -0.51832E+02   0.00000E+00   0.00000E+00   0.10142E+02
   0.13000E+01  -0.53135E+02  -0.52009E+02   0.00000E+00   0.00000E+00   0.10074E+02
   0.14000E+01  -0.53215E+02  -0.52126E+02   0.00000E+00   0.00000E+00   0.10000E+02
   0.15000E+01  -0.53254E+02  -0.52198E+02   0.00000E+00   0.00000E+00   0.99214E+01
   0.16000E+01  -0.53264E+02  -0.52238E+02   0.00000E+00   0.00000E+00   0.98370E+01
   0.17000E+01  -0.53253E+02  -0.52254E+02   0.00000E+00   0.00000E+00   0.97471E+01
   0.18000E+01  -0.53224E+02  -0.52253E+02   0.00000E+00   0.00000E+00   0.96518E+01
   0.19000E+01  -0.53176E+02  -0.52234E+02   0.00000E+00   0.00000E+00   0.95510E+01
   0.20000E+01  -0.53111E+02  -0.52201E+02   0.00000E+00   0.00000E+00   0.94448E+01
   0.21000E+01  -0.53032E+02  -0.52159E+02   0.00000E+00   0.00000E+00   0.93334E+01
   0.22000E+01  -0.52947E+02  -0.52116E+02   0.00000E+00   0.00000E+00   0.92168E+01
   0.23000E+01  -0.52868E+02  -0.52088E+02   0.00000E+00   0.00000E+00   0.90954E+01
   0.24000E+01  -0.52813E+02  -0.52089E+02   0.00000E+00   0.00000E+00   0.89691E+01
   0.25000E+01  -0.52794E+02  -0.52135E+02   0.00000E+00   0.00000E+00   0.88383E+01
   0.26000E+01  -0.52820E+02  -0.52231E+02   0.00000E+00   0.00000E+00   0.87034E+01
