# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.10000E+00  -0.59397E+02  -0.58119E+02   0.55007E+01   0.55007E+01   0.49902E+01
   0.20000E+00  -0.59396E+02  -0.58126E+02   0.58323E+01   0.58323E+01   0.49827E+01
   0.30000E+00  -0.58605E+02  -0.57354E+02   0.55134E+01   0.55134E+01   0.49702E+01
   0.40000E+00  -0.57614E+02  -0.56384E+02   0.49992E+01   0.49992E+01   0.49528E+01
   0.50000E+00  -0.56437E+02  -0.55229E+02   0.43704E+01   0.43704E+01   0.49305E+01
   0.60000E+00  -0.55114E+02  -0.53929E+02   0.36570E+01   0.36570E+01   0.49033E+01
   0.70000E+00  -0.53705E+02  -0.52542E+02   0.28880E+01   0.28880E+01   0.48715E+01
   0.80000E+00  -0.52255E+02  -0.51114E+02   0.20879E+01   0.20879E+01   0.48350E+01
   0.90000E+00  -0.50808E+02  -0.49688E+02   0.12781E+01   0.12781E+01   0.47939E+01
   0.10000E+01  -0.49400E+02  -0.48301E+02   0.47671E+00   0.47671E+00   0.47483E+01
   0.11000E+01  -0.48058E+02  -0.46984E+02  -0.30237E+00  -0.30237E+00   0.46984E+01
   0.12000E+01  -0.46805E+02  -0.45758E+02  -0.10484E+01  -0.10484E+01   0.46442E+01
   0.13000E+01  -0.45657E+02  -0.44642E+02  -0.17535E+01  -0.17535E+01   0.45859E+01
   0.14000E+01  -0.44622E+02  -0.43648E+02  -0.24122E+01  -0.24122E+01   0.45237E+01
   0.15000E+01  -0.43708E+02  -0.42781E+02  -0.30202E+01  -0.30202E+01   0.44579E+01
   0.16000E+01  -0.42914E+02  -0.42042E+02  -0.35743E+01  -0.35743E+01   0.43885E+01
   0.17000E+01  -0.42237E+02  -0.41429E+02  -0.40717E+01  -0.40717E+01   0.43161E+01
   0.18000E+01  -0.41672E+02  -0.40932E+02  -0.45093E+01  -0.45093E+01   0.42407E+01
   0.19000E+01  -0.41204E+02  -0.40539E+02  -0.48837E+01  -0.48837E+01   0.41630E+01
   0.20000E+01  -0.40819E+02  -0.40231E+02  -0.51911E+01  -0.51911E+01   0.40832E+01
   0.21000E+01  -0.40493E+02  -0.39985E+02  -0.54274E+01  -0.54274E+01   0.40018E+01
   0.22000E+01  -0.40197E+02  -0.39769E+02  -0.55883E+01  -0.55883E+01   0.39192E+01
   0.23000E+01  -0.39895E+02  -0.39546E+02  -0.56697E+01  -0.56697E+01   0.38360E+01
   0.24000E+01  -0.39542E+02  -0.39272E+02  -0.56687E+01  -0.56687E+01   0.37526E+01
   0.25000E+01  -0.39089E+02  -0.38894E+02  -0.55839E+01  -0.55839E+01   0.36696E+01
   0.26000E+01  -0.38479E+02  -0.38355E+02  -0.54163E+01  -0.54163E+01   0.35873E+01
   0.27000E+01  -0.37655E+02  -0.37596E+02  -0.51702E+01  -0.51702E+01   0.35062E+01
   0.28000E+01  -0.36560E+02  -0.36562E+02  -0.48535E+01  -0.48535E+01   0.34268E+01
   0.29000E+01  -0.35152E+02  -0.35207E+02  -0.44778E+01  -0.44778E+01   0.33492E+01
   0.30000E+01  -0.33403E+02  -0.33506E+02  -0.40580E+01  -0.40580E+01   0.32739E+01
   0.31000E+01  -0.31316E+02  -0.31457E+02  -0.36116E+01  -0.36116E+01   0.32008E+01
   0.32000E+01  -0.28923E+02  -0.29094E+02  -0.31567E+01  -0.31567E+01   0.31302E+01
   0.33000E+01  -0.26288E+02  -0.26481E+02  -0.27109E+01  -0.27109E+01   0.30621E+01
   0.34000E+01  -0.23501E+02  -0.23709E+02  -0.22891E+01  -0.22891E+01   0.29963E+01
   0.35000E+01  -0.20667E+02  -0.20882E+02  -0.19030E+01  -0.19030E+01   0.29330E+01
   0.36000E+01  -0.17890E+02  -0.18104E+02  -0.15596E+01  -0.15596E+01   0.28719E+01
   0.37000E+01  -0.15259E+02  -0.15468E+02  -0.12624E+01  -0.12624E+01   0.28130E+01
   0.38000E+01  -0.12843E+02  -0.13043E+02  -0.10108E+01  -0.10108E+01   0.27561E+01
   0.39000E+01  -0.10684E+02  -0.10871E+02  -0.80221E+00  -0.80221E+00   0.27011E+01
   0.40000E+01  -0.87999E+01  -0.89730E+01  -0.63203E+00  -0.63203E+00   0.26480E+01
   0.41000E+01  -0.71881E+01  -0.73459E+01  -0.49511E+00  -0.49511E+00   0.25967E+01
   0.42000E+01  -0.58319E+01  -0.59742E+01  -0.38617E+00  -0.38617E+00   0.25469E+01
   0.43000E+01  -0.47062E+01  -0.48332E+01  -0.30025E+00  -0.30025E+00   0.24988E+01
   0.44000E+01  -0.37819E+01  -0.38944E+01  -0.23294E+00  -0.23294E+00   0.24522E+01
   0.45000E+01  -0.30295E+01  -0.31285E+01  -0.18048E+00  -0.18048E+00   0.24070E+01
   0.46000E+01  -0.24211E+01  -0.25077E+01  -0.13973E+00  -0.13973E+00   0.23632E+01
   0.47000E+01  -0.19318E+01  -0.20071E+01  -0.10818E+00  -0.10818E+00   0.23208E+01
   0.48000E+01  -0.15397E+01  -0.16050E+01  -0.83768E-01  -0.83768E-01   0.22797E+01
   0.49000E+01  -0.12265E+01  -0.12828E+01  -0.64908E-01  -0.64908E-01   0.22398E+01
   0.50000E+01  -0.97672E+00  -0.10252E+01  -0.50337E-01  -0.50337E-01   0.22011E+01
   0.51000E+01  -0.77785E+00  -0.81943E+00  -0.39079E-01  -0.39079E-01   0.21635E+01
   0.52000E+01  -0.61964E+00  -0.65523E+00  -0.30376E-01  -0.30376E-01   0.21271E+01
   0.53000E+01  -0.49382E+00  -0.52422E+00  -0.23642E-01  -0.23642E-01   0.20917E+01
   0.54000E+01  -0.39378E+00  -0.41970E+00  -0.18426E-01  -0.18426E-01   0.20574E+01
   0.55000E+01  -0.31421E+00  -0.33628E+00  -0.14381E-01  -0.14381E-01   0.20240E+01
   0.56000E+01  -0.25092E+00  -0.26968E+00  -0.11241E-01  -0.11241E-01   0.19917E+01
   0.57000E+01  -0.20053E+00  -0.21646E+00  -0.87994E-02  -0.87994E-02   0.19602E+01
   0.58000E+01  -0.16041E+00  -0.17392E+00  -0.68984E-02  -0.68984E-02   0.19296E+01
   0.59000E+01  -0.12842E+00  -0.13988E+00  -0.54160E-02  -0.54160E-02   0.18999E+01
   0.60000E+01  -0.10291E+00  -0.11261E+00  -0.42584E-02  -0.42584E-02   0.18710E+01
   0.61000E+01  -0.82542E-01  -0.90749E-01  -0.33530E-02  -0.33530E-02   0.18429E+01
   0.62000E+01  -0.66266E-01  -0.73207E-01  -0.26439E-02  -0.26439E-02   0.18156E+01
   0.63000E+01  -0.53249E-01  -0.59117E-01  -0.20877E-02  -0.20877E-02   0.17890E+01
   0.64000E+01  -0.42829E-01  -0.47786E-01  -0.16508E-02  -0.16508E-02   0.17631E+01
   0.65000E+01  -0.34479E-01  -0.38667E-01  -0.13071E-02  -0.13071E-02   0.17379E+01
   0.66000E+01  -0.27783E-01  -0.31318E-01  -0.10363E-02  -0.10363E-02   0.17133E+01
   0.67000E+01  -0.22407E-01  -0.25391E-01  -0.82267E-03  -0.82267E-03   0.16894E+01
   0.68000E+01  -0.18087E-01  -0.20606E-01  -0.65391E-03  -0.65391E-03   0.16661E+01
   0.69000E+01  -0.14613E-01  -0.16738E-01  -0.52042E-03  -0.52042E-03   0.16434E+01
   0.70000E+01  -0.11817E-01  -0.13610E-01  -0.41468E-03  -0.41468E-03   0.16212E+01
   0.71000E+01  -0.95635E-02  -0.11076E-01  -0.33082E-03  -0.33082E-03   0.15997E+01
   0.72000E+01  -0.77463E-02  -0.90218E-02  -0.26423E-03  -0.26423E-03   0.15786E+01
   0.73000E+01  -0.62796E-02  -0.73553E-02  -0.21128E-03  -0.21128E-03   0.15581E+01
   0.74000E+01  -0.50947E-02  -0.60019E-02  -0.16913E-03  -0.16913E-03   0.15380E+01
   0.75000E+01  -0.41366E-02  -0.49017E-02  -0.13553E-03  -0.13553E-03   0.15185E+01
   0.76000E+01  -0.33614E-02  -0.40065E-02  -0.10873E-03  -0.10873E-03   0.14994E+01
   0.77000E+01  -0.27335E-02  -0.32775E-02  -0.87316E-04  -0.87316E-04   0.14807E+01
   0.78000E+01  -0.22245E-02  -0.26833E-02  -0.70192E-04  -0.70192E-04   0.14625E+01
   0.79000E+01  -0.18117E-02  -0.21986E-02  -0.56482E-04  -0.56482E-04   0.14447E+01
