# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.10000E+00  -0.51938E+02  -0.51938E+02   0.00000E+00   0.00000E+00   0.61043E+01
   0.20000E+00  -0.52111E+02  -0.52111E+02   0.00000E+00   0.00000E+00   0.60981E+01
   0.30000E+00  -0.52355E+02  -0.52355E+02   0.00000E+00   0.00000E+00   0.60877E+01
   0.40000E+00  -0.52603E+02  -0.52603E+02   0.00000E+00   0.00000E+00   0.60727E+01
   0.50000E+00  -0.52789E+02  -0.52789E+02   0.00000E+00   0.00000E+00   0.60530E+01
   0.60000E+00  -0.52857E+02  -0.52857E+02   0.00000E+00   0.00000E+00   0.60281E+01
   0.70000E+00  -0.52778E+02  -0.52778E+02   0.00000E+00   0.00000E+00   0.59975E+01
   0.80000E+00  -0.52550E+02  -0.52550E+02   0.00000E+00   0.00000E+00   0.59611E+01
   0.90000E+00  -0.52198E+02  -0.52198E+02   0.00000E+00   0.00000E+00   0.59183E+01
   0.10000E+01  -0.51770E+02  -0.51770E+02   0.00000E+00   0.00000E+00   0.58687E+01
   0.11000E+01  -0.51325E+02  -0.51325E+02   0.00000E+00   0.00000E+00   0.58122E+01
   0.12000E+01  -0.50930E+02  -0.50930E+02   0.00000E+00   0.00000E+00   0.57485E+01
   0.13000E+01  -0.50645E+02  -0.50645E+02   0.00000E+00   0.00000E+00   0.56774E+01
   0.14000E+01  -0.50519E+02  -0.50519E+02   0.00000E+00   0.00000E+00   0.55990E+01
   0.15000E+01  -0.50582E+02  -0.50582E+02   0.00000E+00   0.00000E+00   0.55134E+01
   0.16000E+01  -0.50840E+02  -0.50840E+02   0.00000E+00   0.00000E+00   0.54208E+01
   0.17000E+01  -0.51268E+02  -0.51268E+02   0.00000E+00   0.00000E+00   0.53215E+01
   0.18000E+01  -0.51801E+02  -0.51801E+02   0.00000E+00   0.00000E+00   0.52161E+01
   0.19000E+01  -0.52339E+02  -0.52339E+02   0.00000E+00   0.00000E+00   0.51051E+01
   0.20000E+01  -0.52742E+02  -0.52742E+02   0.00000E+00   0.00000E+00   0.49894E+01
   0.21000E+01  -0.52845E+02  -0.52845E+02   0.00000E+00   0.00000E+00   0.48697E+01
   0.22000E+01  -0.52472E+02  -0.52472E+02   0.00000E+00   0.00000E+00   0.47471E+01
   0.23000E+01  -0.51469E+02  -0.51469E+02   0.00000E+00   0.00000E+00   0.46225E+01
   0.24000E+01  -0.49728E+02  -0.49728E+02   0.00000E+00   0.00000E+00   0.44970E+01
   0.25000E+01  -0.47218E+02  -0.47218E+02   0.00000E+00   0.00000E+00   0.43715E+01
   0.26000E+01  -0.43995E+02  -0.43995E+02   0.00000E+00   0.00000E+00   0.42472E+01
   0.27000E+01  -0.40194E+02  -0.40194E+02   0.00000E+00   0.00000E+00   0.41248E+01
   0.28000E+01  -0.36008E+02  -0.36008E+02   0.00000E+00   0.00000E+00   0.40050E+01
   0.29000E+01  -0.31654E+02  -0.31654E+02   0.00000E+00   0.00000E+00   0.38885E+01
   0.30000E+01  -0.27338E+02  -0.27338E+02   0.00000E+00   0.00000E+00   0.37757E+01
   0.31000E+01  -0.23234E+02  -0.23234E+02   0.00000E+00   0.00000E+00   0.36669E+01
   0.32000E+01  -0.19466E+02  -0.19466E+02   0.00000E+00   0.00000E+00   0.35623E+01
   0.33000E+01  -0.16106E+02  -0.16106E+02   0.00000E+00   0.00000E+00   0.34621E+01
   0.34000E+01  -0.13183E+02  -0.13183E+02   0.00000E+00   0.00000E+00   0.33662E+01
   0.35000E+01  -0.10694E+02  -0.10694E+02   0.00000E+00   0.00000E+00   0.32745E+01
   0.36000E+01  -0.86084E+01  -0.86084E+01   0.00000E+00   0.00000E+00   0.31870E+01
   0.37000E+01  -0.68865E+01  -0.68865E+01   0.00000E+00   0.00000E+00   0.31036E+01
   0.38000E+01  -0.54807E+01  -0.54807E+01   0.00000E+00   0.00000E+00   0.30239E+01
   0.39000E+01  -0.43437E+01  -0.43437E+01   0.00000E+00   0.00000E+00   0.29479E+01
   0.40000E+01  -0.34310E+01  -0.34310E+01   0.00000E+00   0.00000E+00   0.28754E+01
   0.41000E+01  -0.27028E+01  -0.27028E+01   0.00000E+00   0.00000E+00   0.28062E+01
   0.42000E+01  -0.21246E+01  -0.21246E+01   0.00000E+00   0.00000E+00   0.27400E+01
   0.43000E+01  -0.16674E+01  -0.16674E+01   0.00000E+00   0.00000E+00   0.26769E+01
   0.44000E+01  -0.13068E+01  -0.13068E+01   0.00000E+00   0.00000E+00   0.26164E+01
   0.45000E+01  -0.10233E+01  -0.10233E+01   0.00000E+00   0.00000E+00   0.25586E+01
   0.46000E+01  -0.80064E+00  -0.80064E+00   0.00000E+00   0.00000E+00   0.25032E+01
   0.47000E+01  -0.62613E+00  -0.62613E+00   0.00000E+00   0.00000E+00   0.24501E+01
   0.48000E+01  -0.48948E+00  -0.48948E+00   0.00000E+00   0.00000E+00   0.23992E+01
   0.49000E+01  -0.38258E+00  -0.38258E+00   0.00000E+00   0.00000E+00   0.23504E+01
   0.50000E+01  -0.29900E+00  -0.29900E+00   0.00000E+00   0.00000E+00   0.23035E+01
   0.51000E+01  -0.23367E+00  -0.23367E+00   0.00000E+00   0.00000E+00   0.22584E+01
   0.52000E+01  -0.18263E+00  -0.18263E+00   0.00000E+00   0.00000E+00   0.22150E+01
   0.53000E+01  -0.14276E+00  -0.14276E+00   0.00000E+00   0.00000E+00   0.21732E+01
   0.54000E+01  -0.11161E+00  -0.11161E+00   0.00000E+00   0.00000E+00   0.21330E+01
   0.55000E+01  -0.87273E-01  -0.87273E-01   0.00000E+00   0.00000E+00   0.20943E+01
   0.56000E+01  -0.68260E-01  -0.68260E-01   0.00000E+00   0.00000E+00   0.20569E+01
   0.57000E+01  -0.53404E-01  -0.53404E-01   0.00000E+00   0.00000E+00   0.20208E+01
   0.58000E+01  -0.41793E-01  -0.41793E-01   0.00000E+00   0.00000E+00   0.19860E+01
   0.59000E+01  -0.32716E-01  -0.32716E-01   0.00000E+00   0.00000E+00   0.19523E+01
   0.60000E+01  -0.25619E-01  -0.25619E-01   0.00000E+00   0.00000E+00   0.19198E+01
   0.61000E+01  -0.20068E-01  -0.20068E-01   0.00000E+00   0.00000E+00   0.18883E+01
   0.62000E+01  -0.15724E-01  -0.15724E-01   0.00000E+00   0.00000E+00   0.18579E+01
   0.63000E+01  -0.12325E-01  -0.12325E-01   0.00000E+00   0.00000E+00   0.18284E+01
   0.64000E+01  -0.96640E-02  -0.96640E-02   0.00000E+00   0.00000E+00   0.17998E+01
   0.65000E+01  -0.75800E-02  -0.75800E-02   0.00000E+00   0.00000E+00   0.17721E+01
   0.66000E+01  -0.59474E-02  -0.59474E-02   0.00000E+00   0.00000E+00   0.17453E+01
   0.67000E+01  -0.46679E-02  -0.46679E-02   0.00000E+00   0.00000E+00   0.17192E+01
   0.68000E+01  -0.36650E-02  -0.36650E-02   0.00000E+00   0.00000E+00   0.16939E+01
   0.69000E+01  -0.28785E-02  -0.28785E-02   0.00000E+00   0.00000E+00   0.16694E+01
   0.70000E+01  -0.22615E-02  -0.22615E-02   0.00000E+00   0.00000E+00   0.16456E+01
   0.71000E+01  -0.17773E-02  -0.17773E-02   0.00000E+00   0.00000E+00   0.16224E+01
   0.72000E+01  -0.13972E-02  -0.13972E-02   0.00000E+00   0.00000E+00   0.15998E+01
   0.73000E+01  -0.10988E-02  -0.10988E-02   0.00000E+00   0.00000E+00   0.15779E+01
   0.74000E+01  -0.86439E-03  -0.86439E-03   0.00000E+00   0.00000E+00   0.15566E+01
   0.75000E+01  -0.68019E-03  -0.68019E-03   0.00000E+00   0.00000E+00   0.15359E+01
   0.76000E+01  -0.53540E-03  -0.53540E-03   0.00000E+00   0.00000E+00   0.15156E+01
   0.77000E+01  -0.42156E-03  -0.42156E-03   0.00000E+00   0.00000E+00   0.14960E+01
   0.78000E+01  -0.33203E-03  -0.33203E-03   0.00000E+00   0.00000E+00   0.14768E+01
   0.79000E+01  -0.26158E-03  -0.26158E-03   0.00000E+00   0.00000E+00   0.14581E+01
   0.80000E+01  -0.20614E-03  -0.20614E-03   0.00000E+00   0.00000E+00   0.14399E+01
   0.81000E+01  -0.16250E-03  -0.16250E-03   0.00000E+00   0.00000E+00   0.14221E+01
   0.82000E+01  -0.12813E-03  -0.12813E-03   0.00000E+00   0.00000E+00   0.14047E+01
   0.83000E+01  -0.10106E-03  -0.10106E-03   0.00000E+00   0.00000E+00   0.13878E+01
   0.84000E+01  -0.79730E-04  -0.79730E-04   0.00000E+00   0.00000E+00   0.13713E+01
   0.85000E+01  -0.62918E-04  -0.62918E-04   0.00000E+00   0.00000E+00   0.13552E+01
   0.86000E+01  -0.49664E-04  -0.49664E-04   0.00000E+00   0.00000E+00   0.13394E+01
   0.87000E+01  -0.39212E-04  -0.39212E-04   0.00000E+00   0.00000E+00   0.13240E+01
   0.88000E+01  -0.30968E-04  -0.30968E-04   0.00000E+00   0.00000E+00   0.13090E+01
